algo,params,buildtime,querytime,recall,filename
deglib,"index=(epv=32_extendK=64_extendEps=0.1),query=(eps=0.0)",9856.562854615971,2.934858100488782,0.6916766666666501,"sisap24-deglib/result/100M/uint512/deglib_index=(epv=32_extendK=64_extendEps=0.1),query=(eps=0.0).h5"
deglib,"index=(epv=32_extendK=64_extendEps=0.1),query=(eps=0.001)",9856.562854615971,0.2627835590392351,0.6962833333333162,"sisap24-deglib/result/100M/uint512/deglib_index=(epv=32_extendK=64_extendEps=0.1),query=(eps=0.001).h5"
deglib,"index=(epv=32_extendK=64_extendEps=0.1),query=(eps=0.002)",9856.562854615971,0.2783926632255316,0.7025633333333142,"sisap24-deglib/result/100M/uint512/deglib_index=(epv=32_extendK=64_extendEps=0.1),query=(eps=0.002).h5"
deglib,"index=(epv=32_extendK=64_extendEps=0.1),query=(eps=0.005)",9856.562854615971,0.3321586735546589,0.7182133333333122,"sisap24-deglib/result/100M/uint512/deglib_index=(epv=32_extendK=64_extendEps=0.1),query=(eps=0.005).h5"
deglib,"index=(epv=32_extendK=64_extendEps=0.1),query=(eps=0.01)",9856.562854615971,0.4174301065504551,0.740376666666644,"sisap24-deglib/result/100M/uint512/deglib_index=(epv=32_extendK=64_extendEps=0.1),query=(eps=0.01).h5"
deglib,"index=(epv=32_extendK=64_extendEps=0.1),query=(eps=0.02)",9856.562854615971,0.5850582085549831,0.7799099999999717,"sisap24-deglib/result/100M/uint512/deglib_index=(epv=32_extendK=64_extendEps=0.1),query=(eps=0.02).h5"
deglib,"index=(epv=32_extendK=64_extendEps=0.1),query=(eps=0.03)",9856.562854615971,0.6341243404895067,0.8092199999999662,"sisap24-deglib/result/100M/uint512/deglib_index=(epv=32_extendK=64_extendEps=0.1),query=(eps=0.03).h5"
deglib,"index=(epv=32_extendK=64_extendEps=0.1),query=(eps=0.04)",9856.562854615971,0.6505030058324337,0.8322933333332941,"sisap24-deglib/result/100M/uint512/deglib_index=(epv=32_extendK=64_extendEps=0.1),query=(eps=0.04).h5"
deglib,"index=(epv=32_extendK=64_extendEps=0.1),query=(eps=0.05)",9856.562854615971,0.6195422504097223,0.8481799999999564,"sisap24-deglib/result/100M/uint512/deglib_index=(epv=32_extendK=64_extendEps=0.1),query=(eps=0.05).h5"
deglib,"index=(epv=32_extendK=64_extendEps=0.1),query=(eps=0.06)",9856.562854615971,0.621214022859931,0.8626399999999514,"sisap24-deglib/result/100M/uint512/deglib_index=(epv=32_extendK=64_extendEps=0.1),query=(eps=0.06).h5"
