algo,params,buildtime,querytime,recall,filename
"StochasticHIOB(n_bits=[256],n_its=150000,n_samples=25000,batch_its=1000,noise_std=0.05) + brute-force","index_params=(scale%=10,its_per_sample=1000),query_params=(nprobe=[515])",1983.774057751,3527.725079656,0.769773333333317,"sisap24-hiob/result/clip768v2/100M/StochasticHIOB(n_bits=[256],n_its=150000,n_samples=25000,batch_its=1000,noise_std=0.05)/index_params=(scale%=10,its_per_sample=1000),query_params=(nprobe=[515]).h5"
"StochasticHIOB(n_bits=[256],n_its=150000,n_samples=25000,batch_its=1000,noise_std=0.05) + brute-force","index_params=(scale%=10,its_per_sample=1000),query_params=(nprobe=[523])",1983.774057751,3506.093348903,0.7714466666666498,"sisap24-hiob/result/clip768v2/100M/StochasticHIOB(n_bits=[256],n_its=150000,n_samples=25000,batch_its=1000,noise_std=0.05)/index_params=(scale%=10,its_per_sample=1000),query_params=(nprobe=[523]).h5"
"StochasticHIOB(n_bits=[256],n_its=150000,n_samples=25000,batch_its=1000,noise_std=0.05) + brute-force","index_params=(scale%=10,its_per_sample=1000),query_params=(nprobe=[531])",1983.774057751,3547.058676125,0.7730299999999819,"sisap24-hiob/result/clip768v2/100M/StochasticHIOB(n_bits=[256],n_its=150000,n_samples=25000,batch_its=1000,noise_std=0.05)/index_params=(scale%=10,its_per_sample=1000),query_params=(nprobe=[531]).h5"
"StochasticHIOB(n_bits=[256],n_its=150000,n_samples=25000,batch_its=1000,noise_std=0.05) + brute-force","index_params=(scale%=10,its_per_sample=1000),query_params=(nprobe=[539])",1983.774057751,3584.582457422,0.7748866666666495,"sisap24-hiob/result/clip768v2/100M/StochasticHIOB(n_bits=[256],n_its=150000,n_samples=25000,batch_its=1000,noise_std=0.05)/index_params=(scale%=10,its_per_sample=1000),query_params=(nprobe=[539]).h5"
"StochasticHIOB(n_bits=[256],n_its=150000,n_samples=25000,batch_its=1000,noise_std=0.05) + brute-force","index_params=(scale%=10,its_per_sample=1000),query_params=(nprobe=[547])",1983.774057751,3637.121742246,0.7765899999999823,"sisap24-hiob/result/clip768v2/100M/StochasticHIOB(n_bits=[256],n_its=150000,n_samples=25000,batch_its=1000,noise_std=0.05)/index_params=(scale%=10,its_per_sample=1000),query_params=(nprobe=[547]).h5"
"StochasticHIOB(n_bits=[256],n_its=150000,n_samples=25000,batch_its=1000,noise_std=0.05) + brute-force","index_params=(scale%=10,its_per_sample=1000),query_params=(nprobe=[556])",1983.774057751,3561.65923338,0.7785733333333166,"sisap24-hiob/result/clip768v2/100M/StochasticHIOB(n_bits=[256],n_its=150000,n_samples=25000,batch_its=1000,noise_std=0.05)/index_params=(scale%=10,its_per_sample=1000),query_params=(nprobe=[556]).h5"
"StochasticHIOB(n_bits=[256],n_its=150000,n_samples=25000,batch_its=1000,noise_std=0.05) + brute-force","index_params=(scale%=10,its_per_sample=1000),query_params=(nprobe=[564])",1983.774057751,3694.264594608,0.7800999999999821,"sisap24-hiob/result/clip768v2/100M/StochasticHIOB(n_bits=[256],n_its=150000,n_samples=25000,batch_its=1000,noise_std=0.05)/index_params=(scale%=10,its_per_sample=1000),query_params=(nprobe=[564]).h5"
"StochasticHIOB(n_bits=[256],n_its=150000,n_samples=25000,batch_its=1000,noise_std=0.05) + brute-force","index_params=(scale%=10,its_per_sample=1000),query_params=(nprobe=[573])",1983.774057751,3693.183808049,0.7817166666666479,"sisap24-hiob/result/clip768v2/100M/StochasticHIOB(n_bits=[256],n_its=150000,n_samples=25000,batch_its=1000,noise_std=0.05)/index_params=(scale%=10,its_per_sample=1000),query_params=(nprobe=[573]).h5"
"StochasticHIOB(n_bits=[256],n_its=150000,n_samples=25000,batch_its=1000,noise_std=0.05) + brute-force","index_params=(scale%=10,its_per_sample=1000),query_params=(nprobe=[582])",1983.774057751,3698.716770713,0.7836033333333163,"sisap24-hiob/result/clip768v2/100M/StochasticHIOB(n_bits=[256],n_its=150000,n_samples=25000,batch_its=1000,noise_std=0.05)/index_params=(scale%=10,its_per_sample=1000),query_params=(nprobe=[582]).h5"
"StochasticHIOB(n_bits=[256],n_its=150000,n_samples=25000,batch_its=1000,noise_std=0.05) + brute-force","index_params=(scale%=10,its_per_sample=1000),query_params=(nprobe=[590])",1983.774057751,3783.052137797,0.7852766666666502,"sisap24-hiob/result/clip768v2/100M/StochasticHIOB(n_bits=[256],n_its=150000,n_samples=25000,batch_its=1000,noise_std=0.05)/index_params=(scale%=10,its_per_sample=1000),query_params=(nprobe=[590]).h5"
"StochasticHIOB(n_bits=[256],n_its=150000,n_samples=25000,batch_its=1000,noise_std=0.05) + brute-force","index_params=(scale%=10,its_per_sample=1000),query_params=(nprobe=[600])",1983.774057751,3712.292270452,0.7870466666666484,"sisap24-hiob/result/clip768v2/100M/StochasticHIOB(n_bits=[256],n_its=150000,n_samples=25000,batch_its=1000,noise_std=0.05)/index_params=(scale%=10,its_per_sample=1000),query_params=(nprobe=[600]).h5"
SearchGraph,r=0.95 b=2.0 PCA-96-3072 kspan=30,15426.603862653,2.453697946,0.32229333333333,sisap24-example-julia/results-task2/100M/20240825-065055/searchgraph-PCA-96-k=30-kspan=30.h5
SearchGraph,r=0.95 b=2.0 PCA-96-3072 kspan=300,15426.603862653,489.150072799,0.6470033333333253,sisap24-example-julia/results-task2/100M/20240825-065055/searchgraph-PCA-96-k=30-kspan=300.h5
SearchGraph,r=0.95 b=2.0 PCA-96-3072 kspan=90,15426.603862653,142.637272325,0.49598666666666813,sisap24-example-julia/results-task2/100M/20240825-065055/searchgraph-PCA-96-k=30-kspan=90.h5
SearchGraph,r=0.95 b=2.0 PCA-96-3072 kspan=900,15426.603862653,1401.73348962,0.7181599999999814,sisap24-example-julia/results-task2/100M/20240825-065055/searchgraph-PCA-96-k=30-kspan=900.h5
